Trait_ID_6th,Category,Trait_name,Trait_description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_078,Architecture,"Cut stone masonry [Note, identical to CARNEIRO4_060]",Cut stone masonry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_079,Architecture,"Stone or brick bases for civic or ceremonial structures [Note, identical to CARNEIRO4_061]","Cut stone or brick substructures (e. g., platforms, truncated pyramids) used as bases for civic or ceremonial structures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_080,Architecture,"Dwellings of stone or brick [Note, similar to CARNEIRO4_062]",Dwellings (including walls) constructed of cut stone or fired brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_081,Architecture,"Civic or ceremonial buildings of stone or brick [Note, similar to CARNEIRO4_063]",Civic or ceremonial buildings constructed of cut stone or fired brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_082,Architecture,"Monumental architecture of stone or brick [Note, similar to CARNEIRO4_064]","Monumental architecture of stone or brick (e.g., pyramids, palaces, temples, fortresses, amphitheaters, but excluding solid platforms)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_083,Architecture,"Quarrying of stone for construction [Note, identical to CARNEIRO4_065]",Quarrying of stone for construction (rather than merely dressing loose stones),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_084,Architecture,Megalithic construction,"Megalithic construction using blocks of stone too heavy to be moved without mechanical devices such as rollers, sledges, ramps, or pulleys",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_085,Architecture,"Stone coursing [Note, identical to CARNEIRO4_066]",Stone coursing (blocks of cut stone laid in successive horizontal layers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_086,Architecture,"Rubble used between walls in stone or brick construction [Note, identical to CARNEIRO4_067]",Rubble or some other fill used between walls in stone or brick construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_087,Architecture,"Fired brick used in construction [Note, identical to CARNEIRO4_068]",Fired brick used in construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_088,Architecture,Walls of beaten earth or adobe,Walls of beaten earth or adobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_089,Architecture,"True mortar used in construction [Note, identical to CARNEIRO4_069]","True mortar (i.e., a plastic substance with a chemical bonding action) used in construction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_090,Architecture,"Facing of stone or brick walls or columns [Note, similar to CARNEIRO4_070]","Facing of stone or brick walls or columns with plaster, alabaster, tile, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_091,Architecture,"Roof of tile, brick, dressed stone, planks, etc. [Note, identical to CARNEIRO4_071]","Roof of tile, brick, dressed stone, planks, etc. (i.e., not bark, mud, thatching, or similar material)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_092,Architecture,"House floors made of stone, brick, tile, wood etc.","House floors made of stone, brick, tile, flagstone, or wood (including palm and bamboo)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_093,Architecture,"Stone lintels [Note, identical to CARNEIRO4_072]",Stone lintels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_094,Architecture,"Arches of stone or brick [Note, similar to CARNEIRO4_073]",Arches of stone or brick (corbeled or keystone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_095,Architecture,"True arch [Note, identical to CARNEIRO4_074]",True (keystone) arch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_096,Architecture,"Stone or brick pillars or columns used structurally [Note, identical to CARNEIRO4_075]",Stone or brick pillars or columns used structurally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_097,Architecture,"Stone or brick stairways [Note, similar to CARNEIRO4_076]","Stone or brick stairways (of cut blocks, or carved into living rock)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_098,Architecture,Buttresses used to strengthen stone or brick walls,Buttresses used to strengthen stone or brick walls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_099,Architecture,"Ornamental carving of stone architectural features [Note, similar to CARNEIRO4_077]","Ornamental carving of stone columns, walls, lintels, or other architectural features of stone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_100,Architecture,"Architectural features cut into living rock [Note, identical to CARNEIRO4_078]","Architectural features (e.g., tombs, stairways) cut into living rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_101,Architecture,"Fortresses built of stone or brick [Note, identical to CARNEIRO4_079]","Fortresses built of stone or brick (including walled cities and citadels, where people take refuge in time of war)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_102,Architecture,"Elaborations in fortified walls [Note, similar to CARNEIRO4_080]","Elaborations in fortified walls (including, e.g., towers, salients, merlons, but excluding loopholes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_103,Architecture,"Professional carpenters or woodworkers [Note, similar to CARNEIRO4_083]",Professional (full-time) carpenters or woodworkers (excluding canoemakers and thatchers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_104,Architecture,"Professional stone masons or bricklayers [Note, similar to CARNEIRO4_082]",Professional (full-time) stone masons or bricklayers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_105,Architecture,"Professional architects or engineers [Note, identical to CARNEIRO4_081]",Professional (full-time) architects or engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_106,Economics,"Landed property [Note, similar to CARNEIRO4_084]","Landed property: individual or familial ownership rights over improved land (e.g., cultivated plots, house sites) continue to be exercised, even if land ceases to be occupied or worked",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_107,Economics,Boundary markers to indicate private property limits,Boundary markers (excluding growing crop plants but including hedges) set up in order to indicate the limits of a piece of private property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_108,Economics,Agricultural land commonly bought and sold,Agricultural land commonly bought and sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_109,Economics,Economic speculation in commodities,"Economic speculation in land, foodstuffs, or other commodities a common practice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_110,Economics,"Inscription of land or other forms of property [Note, identical to CARNEIRO4_085]",Inscription of land or other forms of property (registry of deeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_111,Economics,"Rental of land or dwellings [Note, identical to CARNEIRO4_102]",Rental of land or dwellings by landlords to tenants as a system of tenure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_112,Economics,Share-cropping,Share-cropping: a system of land tenure in which the tenant (who is not a serf) pays the landlord a specific proportion or amount of the crop as rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_113,Economics,Leasing of land or dwellings,Leasing of land or dwellings: a formal agreement (not merely observance of custom) in which a tenant’s right of occupancy is guaranteed for a specified period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_114,Economics,"Serfs [Note, similar to CARNEIRO4_120]","Serfs: tenants and their descendants legally bound to land which they farm for the benefit of private persons or corporate groups (e.g., feudal lords, temples, monasteries)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_115,Economics,Private or government control over natural resources,"Private ownership (not ownership by a sib or a local group) or government control exercised over scarce or limited natural resources (e.g., clay pits, clam beds, salt, water holes, mineral deposits, grove of wild fruit trees) rather than free access to them",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_116,Economics,Distinctive marks used to indicate property ownership,"Seals, brands, or other distinctive marks used to indicate ownership of manufactured property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_117,Economics,"Wealth differences among society members [Note, similar to CARNEIRO4_088]","Marked differences in wealth (e.g., real property, livestock, precious metals, slaves; but excluding wives, ceremonial bundles) among members of the society (other than the difference between the principal political leader or religious specialist and everyone else)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_118,Economics,Feasts or gift-giving ceremonies showcasing wealth,"Feasts or gift-giving ceremonies in which much wealth is displayed or consumed, including those for state purposes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_119,Economics,"Recorded inventories of property owned [Note, similar to CARNEIRO4_110]","Recorded inventories of property owned (e.g., with pebbles, knotted cords, notched sticks, clay tablets, ledgers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_120,Economics,"Most individual property inherited [Note, similar to CARNEIRO4_086]","Most individual (not family) property owned and in the possession of a person at the time of his death (exclude property lent out and still outstanding) transmitted by inheritance rather than being buried, destroyed, or otherwise disposed of at the death of the owner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_121,Economics,"Testamentary disposition of property [Note, similar to CARNEIRO4_087]","Testamentary disposition of property, by a written will, through a formal executor, or orally in the presence of a witness (excluding incorporeal property)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_122,Economics,"Craft specialization [Note, similar to CARNEIRO4_090]","Craft specialization: some craft(s) which only a limited number of persons in the society practice (excluding the making of religious or ceremonial objects by shamans or priests, or chiefs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_123,Economics,"Craft production for economic exchange [Note, identical to CARNEIRO4_091]",A significant amount of craft production primarily for economic exchange rather than for personal consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_124,Economics,"Full-time craft specialists [Note, identical to CARNEIRO4_092]","Full-time craft specialists (e.g., brewer, lapidary, tailor, baker, tanner)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_125,Economics,Service specialization,"Service specialization: some services which only a limited number of persons in the society provide (excluding religious specialists and curers, but including clans and other groups that perform specialized services)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_126,Economics,"Full-time service specialists [Note, similar to CARNEIRO4_093]","Full-time service specialists other than religious practitioners (e.g., tattooer, barber, accountant, lawyer, physician)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_127,Economics,Professional barbers or hairdressers,Professional barbers or hairdressers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_128,Economics,Professional porters or bearers,Professional porters or bearers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_129,Economics,Full-time food production specialists,"Processing or preparation of food by full-time specialists (e.g., millers, butchers, cooks, bakers) other than household servants or slaves",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_130,Economics,Professional brewers or wine makers,Professional brewers or wine makers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_131,Economics,Full-time clothing or shoes makers,Clothing or shoes manufactured by full-time specialists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_132,Economics,"Medium of exchange used in trade [Note, similar to CARNEIRO4_099]","Medium of exchange, which is frequently used in trade for a variety of commodities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_133,Economics,Currency,"Currency: a medium valued primarily for its use in economic exchanges rather than as an ornamental or consumable good, and which may be exchanged freely for any goods or commodities which are traded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_134,Economics,Economic exchange in currency or money,A significant amount of economic exchange carried out by means of currency or money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_135,Economics,Metallic currency valued according to weight,Metallic currency valued according to weight (including coins),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_136,Economics,Two or more metals used as currency,Two or more metals of different monetary value used as currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_137,Economics,"Coined money [Note, identical to CARNEIRO4_100]",Coined money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_138,Economics,Coins of different denominations,Coins of different denominations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_139,Economics,Animals or foodstuffs lent out at interest,"Animals, seed crops, or foodstuffs lent out at interest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_140,Economics,"Money or goods lent out at interest [Note, similar to CARNEIRO4_101]",Money or goods (not including animals or foodstuffs) lent out at interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_141,Economics,Professional moneylenders,Professional moneylenders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_142,Economics,Banks,"Banks, which pay interest on deposits and make loans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_143,Economics,Pledging of movable property as debt security,Pledging of items of movable property as security on a debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_144,Economics,Pledging of oneself or family member as debt security,Pledging of oneself or members of one’s family as security on a debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_145,Economics,Mortgage,Mortgage: a legal instrument offering land or houses as security to guarantee the repayment of a loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_146,Economics,Insurance,"Insurance: protection against calamities (e.g., fire, theft, loss of merchandise at sea) offered by an underwriter for a premium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_147,Economics,"Trade between communities [Note, identical to CARNEIRO4_112]",Trade between communities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_148,Economics,Economically important trade between communities or regions,Economically important trade carried out between communities or regions (including that conducted through itinerant merchants),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_149,Economics,Economically important trade in finished goods between communities,Economically important trade in which finished goods (excluding food) are traded to other communities or societies (including exchanges conducted through itinerant merchants),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_150,Economics,Full-time specialists in trade,Full-time specialist(s) in trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_151,Economics,"Trading outposts [Note, identical to CARNEIRO4_115]",Trading outposts maintained outside the territory of the society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_152,Economics,"Markets [Note, identical to CARNEIRO4_105]","Markets, in which a variety of goods are traded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_153,Economics,"Daily and permanent markets [Note, identical to CARNEIRO4_106]",Daily and permanent markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_154,Economics,Specialized urban markets,"Specialized market(s) within a town or city (e.g., fish market, cattle market, textile market, flower market)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_155,Economics,"Itinerant merchants or specialized traders [Note, identical to CARNEIRO4_103]","Itinerant merchants or specialized traders who are members of the society itself (rather than foreigners), and who remain such even if they trade outside the society",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
